no,Ref,year,corbett,species,uid,pid,check,phyl.info,ott.uid,ott.pid,Habitat,par.path,invasive,Kingdom,Tax.grp,Group,newGroup,SubGroup,newSubGroup,newSubGroup2,newSubGroupClade,newSubGrp2,Class,Order,newOrder,Family,newFamily,het.a.chiasmy,F.map.length,M.map.length,F.M.ratio,Sexual.sys,Karyotype,Genotypic,Size.Mb,Cval,est.Gsize.Mb,combined.Gsize,chr.2n,chr1n,No.Ind,Marker.mapped,av.sex,MapLength.cM,MarkerInterval ,LinkageGrps,CM.length.est,RR_Mb.cM,CorrectedRR,RR,haplodiploid,Selfing,plant.LifeForm,RI_hap,RI_chiasma,RI_status,PlantGrowthForm,LeafType,LeafPhenology,PhotosyntheticPathway,Woodiness,LeafCompoundness,Total.spp,Dioe,Pollination
35,Corbet-Detig,2015,y,Arabidopsis_thaliana,309263,309275,y,Arabidopsis_thaliana,ott309263,ott309275,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Eudicots,Angiosperms,Superrosids,Superrosids,Malvids,Eudicots,Eudicots,Brassicales,Brassicales,Brassicaceae,Brassicaceae,NA,NA,NA,NA,NA,NA,NA,156.48,0.126278118609407,123.5,123.5,10,5,NA,666,n,422.5,0.634384384384384,5,NA,4.211,4.211,3.42105263157895,NA,SC,NA,5,9.24,Cultivated,herb,broadleaved,NA,C3,non-woody,simple,NA,NA,NA
36,Singer,2015,n,Arabidopsis_thaliana,309263,309275,y,Arabidopsis_thaliana,ott309263,ott309275,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Eudicots,Angiosperms,Superrosids,Superrosids,Malvids,Eudicots,Eudicots,Brassicales,Brassicales,Brassicaceae,Brassicaceae,NA,NA,NA,NA,NA,NA,NA,156.48,0.126278118609407,123.5,123.5,10,5,NA,666,n,422.5,0.634384384384384,5,NA,4.211,4.211,3.42105263157895,NA,SC,NA,5,9.24,Cultivated,herb,broadleaved,NA,C3,non-woody,simple,NA,NA,NA
37,Nagy,2010,n,Arachis_duranensis,607569,39536,y,Arachis_duranensis,ott607569,ott39536,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Eudicots,Angiosperms,Superrosids,Superrosids,Fabids,Eudicots,Eudicots,Fabales,Fabales,Fabaceae,Fabaceae,NA,NA,NA,NA,NA,NA,NA,1068.35,NA,1242.06,1242.06,20,10,NA,1724,n,1081.3,NA,10,NA,NA,NA,0.870569859749127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,Zhou,2014,n,Arachis_hypogaea,39541,39536,y,Arachis_hypogaea,ott39541,ott39536,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Eudicots,Angiosperms,Superrosids,Superrosids,Fabids,Eudicots,Eudicots,Fabales,Fabales,Fabaceae,Fabaceae,NA,NA,NA,NA,hermaphrodite,NA,NA,NA,NA,2806.86,2806.86,40,20,166,1685,n,1446.7,0.9,20,NA,NA,NA,0.515415802711927,NA,SC,NA,20,34,Domesticated,herb,broadleaved,NA,C3,non-woody,compound,NA,NA,NA
39,Li,2012,n,Argopecten_irradians,6370122,6370103,y,Argopecten_irradians,ott6370122,ott6370103,Aquatic,n,n,Eukaryota,Opisthokonta ,Animals,Invert,Molluscs,Molluscs,Molluscs,Molluscs,Molluscs,Bivalvia,Ostreoida,Ostreoida,Pectinidae,Pectinidae,H,779.2,781.6,0.996929375639713,NA,NA,NA,NA,1.2,1173.6,1173.6,32,16,NA,161,n,849.3,5.9,16,NA,NA,NA,0.723670756646217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,Zhu,2014,n,Aristichthys_nobilis,5925455,429092,y,Hypophthalmichthys_nobilis,ott5925455,ott429092,Aquatic,n,n,Eukaryota,Opisthokonta ,Animals,Vert,Fishes,Fishes,Fishes,Fishes,Fishes,Actinopterygii,Cypriniformes,Cypriniformes,Cyprinidae,Cyprinidae,H,1814.6,1620,1.12012345679012,gonochorous,NA,MH,NA,1.05,865.53,865.53,48,24,NA,659,n,1917.3,2.9,24,NA,NA,NA,2.21517451734775,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,DeVos,2013,n,Artemia_franciscana,59094,59091,y,Artemia_franciscana,ott59094,ott59091,Aquatic,n,n,Eukaryota,Opisthokonta ,Animals,Invert,Crustaceans,Crustaceans,Crustaceans,Crustaceans,Crustaceans,Branchiopoda,Anostraca,OtherCrust,Artemiidae,OtherCrust,H,1313,1041,1.26128722382325,gonochorous,ZW,FH,NA,0.97,948.66,948.66,42,21,NA,433,y,1177,3.5,21,NA,NA,NA,1.2406974047604,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Phan,2003,n,Ascochyta_rabiei,5712886,335005,y,Didymella_rabiei,ott5712886,ott335005,Plants,y,n,Eukaryota,Opisthokonta ,Fungi,Fungi,Ascomycota,Fungi,Fungi,Fungi,Fungi,Dothideomycetes,Pleosporales,OtherFungi,Didymellaceae,OtherAsco.,NA,NA,NA,NA,NA,H,NA,34.6583,NA,34.6583,34.6583,28,14,96,126,n,1271,15.1,18,NA,NA,NA,36.6723122599781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,Christians,2011,n,Aspergillus_nidulans,117339,550772,y,Aspergillus_nidulans,ott117339,ott550772,Terrestrial,n,n,Eukaryota,Opisthokonta ,Fungi,Fungi,Ascomycota,Fungi,Fungi,Fungi,Fungi,Eurotiomycetes,Eurotiales,OtherFungi,Trichocomaceae,OtherFungi,NA,NA,NA,NA,NA,H,NA,30.2427,NA,30.2427,30.2427,16,8,61,739,n,3624.7,5,8,3705,NA,NA,119.853716764707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,Sanetra,2009,n,Astatotilapia_burtoni,5861317,710024,y,Astatotilapia_sp,ott5861317,ott710024,Aquatic,n,n,Eukaryota,Opisthokonta ,Animals,Vert,Fishes,Fishes,Fishes,Fishes,Fishes,Actinopterygii,Perciformes,Perciformes,Cichlidae,Cichlidae,NA,NA,NA,NA,NA,NA,NA,NA,0.97,948.66,948.66,40,20,167,204,n,1249.3,6.12,25,NA,NA,NA,1.31691016802648,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,Carlson,2015,n,Astyanax_mexicanus,701518,701508,y,Astyanax_mexicanus,ott701518,ott701508,Aquatic,n,n,Eukaryota,Opisthokonta ,Animals,Vert,Fishes,Fishes,Fishes,Fishes,Fishes,Actinopterygii,Characiformes,OtherFishes,Characidae,OtherFishes,NA,NA,NA,NA,gonochorous,NA,NA,1191.24,NA,1191.24,1191.24,50,25,170,2235,n,2110.7,1.052,25,NA,NA,NA,1.77185118028273,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,Nichimori,2000,n,Athalia_rosae,106278,106277,y,Athalia_rosae,ott106278,ott106277,Terrestrial,n,n,Eukaryota,Opisthokonta ,Animals,Invert,Insects,Insects,Insects,Insects,Insects,Insecta,Hymenoptera,Hymenoptera,Tenthredinoidae,OtherHymen,NA,NA,NA,NA,male.haploid,NA,NA,163.838,NA,163.838,163.838,16,8,40,61,n,517.2,NA,16,NA,NA,NA,3.15677681612324,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
