Ref,year,species,speciesOTT,Group,par.path,Genome.Size.Mb,HCN,MapLength.cM,Sexual.sys,Ref.number,RR.cM.Mb
Moncada,2016,Coffea_arabica,Coffea_arabica_ott1001050,Plants,n,1173.6,22,3800,NA,83,3.237900477
Muraguchi,2003,Coprinus_cinereus,Coprinopsis_cinerea_ott737441,Fungi,n,37.5,13,1346,NA,84,35.89333333
Biswass,2015,Corchorus_capsularis,Corchorus_capsularis_ott679189,Plants,n,586.8,7,2016,NA,85,3.435582822
Kundu,2015,Corchorus_olitorius,Corchorus_olitorius_ott578269,Plants,n,909.54,7,358.5,NA,86,0.394155287
Gagnaire,2013,Coregonus_clupeaformis,Coregonus_clupeaformis_ott629345,Animals,n,2386.32,40,3061,NA,87,1.282728218
Wang,2009,Cornus_florida,Cornus_florida_ott148264,Plants,n,1545.24,7,1175,NA,88,0.760399679
Kikuchi,2005,Coturnix_japonica,Coturnix_japonica_ott803622,Animals,n,1320.3,32,2816,gonochorous,89,2.132848595
Hedgecock,2015,Crassostrea_gigas,Crassostrea_gigas_ott987409,Animals,n,557.736,10,588,seq.hermaphrodite,90,1.054262232
Yu,2003,Crassostrea_virginica,Crassostrea_virginica_ott365708,Animals,n,675,10,905,NA,91,1.340740741
Miles,2009,Crocodylus_porosus,Crocodylus_porosus_ott35872,Animals,n,2049.54,17,1071.55,gonochorous,92,0.522824634
Marra,2004,Cryptococcus_neoformans,Cryptococcus_neoformans_ott48333,Fungi,y,19.0519,14,1500,NA,93,78.73230491
Moriguchi,2016,Cryptomeria_japonica,Cryptomeria_japonica_ott620749,Plants,n,10758,11,1266.2,NA,94,0.117698457
Xia,2010,Ctenopharyngodon_idella,Ctenopharyngodon_idella_ott1005936,Animals,n,1004.545714,24,1176.1,gonochorous,95,1.170777978
Diaz,2011,Cucumis_melo,Cucumis_melo_ott1006256,Plants,n,929.1,12,1150,NA,96,1.237756969
Zhu,2016,Cucumis_sativus,Cucumis_sativus_ott1006246,Plants,n,195.669,7,1061.19,NA,97,5.423393588
Zhang,2015,Cucurbita_maxima,Cucurbita_maxima_ott379272,Plants,n,449.88,20,2533.8,NA,98,5.632168578
Gong,2008,Cucurbita_moschata,Cucurbita_moschata_ott84409,Plants,n,420.54,20,1936,NA,99,4.603604889
Montero-Pau,2017,Cucurbita_pepo,Cucurbita_pepo_ott379282,Plants,n,537.9,20,2817.6,NA,100,5.238148355
Hickner,2013,Culex_pipiens,Culex_pipiens_ott218684,Animals,n,684.6,3,189.9,gonochorous,101,0.277388256
Hansson,2010,Cyanistes_caeruleus,Cyanistes_caeruleus_ott746120,Animals,n,1437.66,39,935,gonochorous,102,0.650362394
Portis,2009,Cynara_cardunculus,Cynara_cardunculus_ott991885,Plants,n,1075.8,17,1251.15,NA,103,1.16299498
Harris-Shultz,2010,Cynodon_dactylon,Cynodon_dactylon_ott927435,Plants,n,1110.03,18,1055,NA,104,0.950424763
Song,2012,Cynoglossus_semilaevis,Cynoglossus_semilaevis_ott906506,Animals,n,606.36,21,1624,gonochorous,105,2.678276931
Zhao,2013,Cyprinus_carpio,Cyprinus_carpio_ott429083,Animals,n,1741.9158,50,3565.9,gonochorous,106,2.047113873
Zhao,2016,Dactylis_glomerata,Dactylis_glomerata_ott83469,Plants,n,4303.2,7,715.77,NA,107,0.166334356
Bradley,2011,Danio_rerio,Danio_rerio_ott1005914,Animals,n,1817.124,25,2177.363,gonochorous,108,1.19824679
Dukic,2016,Daphnia_magna,Daphnia_magna_ott668392,Animals,n,129.543,10,1614.5,parthenogenic,109,12.46304316
Cristescu,2006,Daphnia_pulex,Daphnia_pulex_ott59086,Animals,n,197.206,12,1206,parthenogenic,110,6.115432593
Cavagnaro,2014,Daucus_carota,Daucus_carota_ott372836,Plants,n,421.539,9,635.1,NA,111,1.506622163
Yagi,2013,Dianthus_caryophyllus,Dianthus_caryophyllus_ott842200,Plants,n,616.14,15,978.3,NA,112,1.58778849
Chistiakov,2008,Dicentrarchus_labrax,Dicentrarchus_labrax_ott3549,Animals,n,762.84,24,1373.1,NA,113,1.799984269
Stocker,2012,Drosophila_serrata,Drosophila_serrata_ott86632,Animals,n,205.38,4,245.3,gonochorous,114,1.194371409
Heesch,2010,Ectocarpus_siliculosus,Ectocarpus_siliculosus_ott878345,SAR,n,195.811,34,2459.3,NA,115,12.55955998
Blake,2011,Eimeria_maxima,Eimeria_maxima_ott775254,SAR,y,45.9751,14,2883.9,NA,116,62.72743289
Shirley,2000,Eimeria_tenella,Eimeria_tenella_ott775246,SAR,y,51.8944,12,653,NA,117,12.58324598
Ting,2016,Elaeis_guineensis,Elaeis_guineensis_ott947656,Plants,n,1535.18,16,1499.5,NA,118,0.976758426
