ref_id,doi,doi_url,authors,n_authors,year,title,journal,journal_normalized,journal_abbrev,volume,issue,pages,publisher,issn,publication_type,crossref_citation_count,si_ref_number,si_first_author,si_year,citation_verbatim,match_confidence,match_title_score,match_author_score,manual_review,review_note,flag_year_mismatch,flag_author_list_incomplete,flag_no_doi
song2015,10.1534/g3.115.020594,https://doi.org/10.1534/g3.115.020594,"Song, Qijian; Jia, Gaofeng; Hyten, David L; Jenkins, Jerry; Hwang, Eun-Young; Schroeder, Steven G; Osorno, Juan M; Schmutz, Jeremy; Jackson, Scott A; McClean, Phillip E; Cregan, Perry B",11.0,2015,"SNP Assay Development for Linkage Map Construction, Anchoring Whole-Genome Sequence, and Other Genetic and Genomic Applications in Common Bean",G3 Genes|Genomes|Genetics,G3: Genes|Genomes|Genetics,,5,11,2285-2290,Oxford University Press (OUP),2160-1836,journal-article,144.0,250.0,Song,2015.0,"Song, Q. J., G. F. Jia, D. L. Hyten, J. Jenkins, E. Y. Hwang, S. G. Schroeder, J. M. Osorno, J. Schmutz, S. A. Jackson, P. E. McClean, and P. B. Cregan. 2015. SNP Assay Development for Linkage Map Construction, Anchoring Whole-Genome Sequence, and Other Genetic and Genomic Applications in",high,100.0,100.0,,,False,False,False
mathew2014,10.1186/1471-2164-15-285,https://doi.org/10.1186/1471-2164-15-285,"Mathew, Lisa S; Spannagl, Manuel; Al-Malki, Ameena; George, Binu; Torres, Maria F; Al-Dous, Eman K; Al-Azwani, Eman K; Hussein, Emad; Mathew, Sweety; Mayer, Klaus FX; Mohamoud, Yasmin Ali; Suhre, Karsten; Malek, Joel A",13.0,2014,A first genetic map of date palm (Phoenix dactylifera) reveals long-range genome structure conservation in the palms,BMC Genomics,BMC Genomics,BMC Genomics,15,1,,Springer Science and Business Media LLC,1471-2164,journal-article,96.0,251.0,Mathew,2014.0,"Mathew, L. S., M. Spannagl, A. Al-Malki, B. George, M. F. Torres, E. K. Al-Dous, E. K. Al-Azwani, E. Hussein, S. Mathew, K. F. X. Mayer, Y. A. Mohamoud, K. Suhre, and J. A. Malek. 2014. A first genetic map of date palm (Phoenix dactylifera) reveals long-range genome structure conservation in the",high,100.0,100.0,,,False,False,False
kamisugi2008,10.1111/j.1365-313x.2008.03637.x,https://doi.org/10.1111/j.1365-313x.2008.03637.x,"Kamisugi, Yasuko; Von Stackelberg, Mark; Lang, Daniel; Care, Matthew; Reski, Ralf; Rensing, Stefan A.; Cuming, Andrew C.",7.0,2008,"A sequence‐anchored genetic linkage map for the moss, Physcomitrella patens",The Plant Journal,The Plant Journal,The Plant Journal,56,5,855-866,Wiley,0960-7412,journal-article,35.0,252.0,Kamisugi,2008.0,"Kamisugi, Y., M. von Stackelberg, D. Lang, M. Care, R. Reski, S. A. Rensing, and A. C. Cuming. 2008. A sequence-anchored genetic linkage map for the moss, Physcomitrella patens. Plant Journal 56:855-866.",high,100.0,100.0,,,False,False,False
vanderlee2004,10.1534/genetics.104.029652,https://doi.org/10.1534/genetics.104.029652,"van der Lee, Theo; Testa, Antonino; Robold, Andrea; van ‘t Klooster, John; Govers, Francine",5.0,2004,High-Density Genetic Linkage Maps of Phytophthora infestans Reveal Trisomic Progeny and Chromosomal Rearrangements,Genetics,Genetics,,167,4,1643-1661,Oxford University Press (OUP),1943-2631,journal-article,50.0,253.0,vanderLee,2004.0,"van der Lee, T., A. Testa, A. Robold, J. van 't Klooster, and F. Govers. 2004. High-density genetic linkage maps of Phytophthora infestans reveal trisomic progeny and chromosomal rearrangements. Genetics 167:1643-1661.",high,100.0,90.0,,,False,False,False
lind2014,10.1371/journal.pone.0101049,https://doi.org/10.1371/journal.pone.0101049,"Lind, Mårten; Källman, Thomas; Chen, Jun; Ma, Xiao-Fei; Bousquet, Jean; Morgante, Michele; Zaina, Giusi; Karlsson, Bo; Elfstrand, Malin; Lascoux, Martin; Stenlid, Jan",11.0,2014,A Picea abies Linkage Map Based on SNP Markers Identifies QTLs for Four Aspects of Resistance to Heterobasidion parviporum Infection,PLoS ONE,PLOS ONE,PLoS ONE,9,7,e101049,Public Library of Science (PLoS),1932-6203,journal-article,55.0,254.0,Lind,2014.0,"Lind, M., T. Kallman, J. Chen, X. F. Ma, J. Bousquet, M. Morgante, G. Zaina, B. Karlsson, M. Elfstrand, M. Lascoux, and J. Stenlid. 2014. A Picea abies Linkage Map Based on SNP Markers Identifies QTLs for Four Aspects of Resistance to Heterobasidion parviporum Infection. Plos One 9.",high,100.0,100.0,,,False,False,False
friedline2015,10.1007/s11295-015-0866-x,https://doi.org/10.1007/s11295-015-0866-x,"Friedline, Christopher J.; Lind, Brandon M.; Hobson, Erin M.; Harwood, Douglas E.; Mix, Annette Delfino; Maloney, Patricia E.; Eckert, Andrew J.",7.0,2015,The genetic architecture of local adaptation I: the genomic landscape of foxtail pine (Pinus balfouriana Grev. & Balf.) as revealed from a high-density linkage map,Tree Genetics & Genomes,Tree Genetics & Genomes,Tree Genetics & Genomes,11,3,,Springer Science and Business Media LLC,1614-2942,journal-article,20.0,255.0,Friesline,2015.0,"Friedline, C. J., B. M. Lind, E. M. Hobson, D. E. Harwood, A. D. Mix, P. E. Maloney, and A. J. Eckert. 2015. The genetic architecture of local adaptation I: the genomic landscape of foxtail pine (Pinus balfouriana Grev. & Balf.) as revealed from a high-density linkage map. Tree Genetics & Genomes 11.",high,100.0,88.88888888888889,,,False,False,False
yang2013,10.1007/s00468-013-0890-0,https://doi.org/10.1007/s00468-013-0890-0,"Yang, Hui-xiao; Luo, Rui; Zhao, Fen-cheng; Liu, Tian-yi; Liu, Chun-xin; Huang, Shao-wei",6.0,2013,"Constructing genetic linkage maps for Pinus elliottii var. elliottii and Pinus caribaea var. hondurensis using SRAP, SSR, EST and ISSR markers",Trees,Trees,Trees,27,5,1429-1442,Springer Science and Business Media LLC,0931-1890,journal-article,7.0,256.0,Yang,2013.0,"Yang, H. X., R. Luo, F. C. Zhao, T. Y. Liu, C. X. Liu, and S. W. Huang. 2013. Constructing genetic linkage maps for Pinus elliottii var. elliottii and Pinus caribaea var. hondurensis using SRAP, SSR, EST and ISSR markers. Trees-",high,100.0,100.0,,,False,False,False
chen2010b,10.1007/s00468-010-0438-5,https://doi.org/10.1007/s00468-010-0438-5,"Chen, Min-Min; Feng, Fujuan; Sui, Xin; Li, Mai-He; Zhao, Dan; Han, Shijie",6.0,2010,"Construction of a framework map for Pinus koraiensis Sieb. et Zucc. using SRAP, SSR and ISSR markers",Trees,Trees,Trees,24,4,685-693,Springer Science and Business Media LLC,0931-1890,journal-article,17.0,257.0,Chen,2010.0,"Chen, M. M., F. J. Feng, X. Sui, M. H. Li, D. Zhao, and S. J. Han. 2010. Construction of a framework map for Pinus koraiensis Sieb. et Zucc. using SRAP, SSR and ISSR markers. Trees-Structure and Function 24:685-693.",high,100.0,100.0,,,False,False,False
jermstad2010,10.1007/s11295-010-0347-1,https://doi.org/10.1007/s11295-010-0347-1,"Jermstad, Kathleen D.; Eckert, Andrew J.; Wegrzyn, Jill L.; Delfino-Mix, Annette; Davis, Dean A.; Burton, Deems C.; Neale, David B.",7.0,2010,Comparative mapping in Pinus: sugar pine (Pinus lambertiana Dougl.) and loblolly pine (Pinus taeda L.),Tree Genetics & Genomes,Tree Genetics & Genomes,Tree Genetics & Genomes,7,3,457-468,Springer Science and Business Media LLC,1614-2942,journal-article,41.0,258.0,Jermstad,2011.0,"Jermstad, K. D., A. J. Eckert, J. L. Wegrzyn, A. Delfino-Mix, D. A. Davis, D. C. Burton, and D. B. Neale. 2011. Comparative mapping in Pinus: sugar pine (Pinus lambertiana Dougl.) and loblolly pine (Pinus taeda L.). Tree Genetics &",high,100.0,100.0,,,True,False,False
chen2014a,10.1515/sg-2014-0001,https://doi.org/10.1515/sg-2014-0001,"Chen, Wenxia; Cao, Mu; Wang, Yuanxiu; Zhou, Zhichun; Xu, Li-An",5.0,2014,"1. A genetic linkage map of Pinus massoniana based on SRAP, SSR and ESTP markers",Silvae Genetica,Silvae Genetica,,63,1-6,1-8,Walter de Gruyter GmbH,2509-8934,journal-article,2.0,259.0,Chen,2014.0,"Chen, W. X., M. Cao, Y. X. Wang, Z. C. Zhou, and L. A. Xu. 2014. A genetic linkage map of Pinus massoniana based on SRAP, SSR and ESTP markers.",high,100.0,100.0,,,False,False,False
