genome_size_id,ott_id,species_name,genome_size_mb,c_value_pg,method,source_column,source,note,used_in_maps,flag_unverified
GS0267,ott780542,Haliotis diversicolor,1418.1,1.45,c_value,Cval,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,True,False
GS0268,ott780532,Haliotis midae,1398.54,1.43,c_value,Cval,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,True,False
GS0269,ott138490,Haplochromis chilotes,1075.8,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
GS0270,ott685068,Haplochromis sauvagei,1075.8,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
GS0271,ott515712,Helianthus annuus,2376.54,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
GS0272,ott896444,Heliconius melpomene,293.4,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0273,ott896444,Heliconius melpomene,293.4,0.3,c_value,Cval,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,True,False
GS0274,ott1072058,Heterobasidion annosum,27.9883,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0275,ott1072058,Heterobasidion annosum,27.9883,0.034,c_value,Cval,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,True,False
GS0276,ott332065,Heterodera glycines,81.908,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0277,ott332065,Heterodera glycines,81.908,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
GS0278,ott339361,Hevea brasiliensis,1373.37,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0279,ott339361,Hevea brasiliensis,2102.7,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
GS0280,ott393745,Hibiscus cannabinus,1496.34,1.53,c_value,Cval,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,True,False
GS0281,ott23821,Hieracium,4058.7,4.15,c_value,Cval,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,True,False
GS0282,ott770315,Homo sapiens,3423.0,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0283,ott770315,Homo sapiens,3423.0,3.5,c_value,Cval,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,True,False
GS0284,ott657948,Hordeum vulgare,1779.49,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0285,ott657948,Hordeum vulgare,5418.1,5.53997955010225,c_value,Cval,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,True,False
